,title,brand,rating_5.0,price,discount,rating
0,XERGY Acrylic Glass Battery Operated Flameless Led Candles (Pack of 3) Valentine's Gift for Home Decor Romantic Ambiance Aesthetic Dinning Table Decor,SRGINC,3.8,999.,-50%,65 ratings
1,"NAS HOME SOLUTIONS Self Adhesive 304 Stainless Steel Strip in GLOSSY MIRROR FINISH, with FREE Stainless Steel Cutter Included, Use for Home Decor, Highlighter and Enhancements",NAS HARDWARE SOLUTIONS,4.0,720.,-28%,NaN
2,RITUALISTIC Pastel Pichwai Iron Wall Plates- Set of 5 (Multicolor)| Home Decor | Painting | Divine | Intricate Designs,Ritualistic,4.5,"2,799.",-49%,55 ratings
3,RITUALISTIC Metal Kashmiri Wall Plates- Set Of 5 |Home Decor | Painting | Divine | Intricate Designs,Ritualistic,4.4,"2,799.",-49%,33 ratings
4,"SPHINX Ceramic Donut Vase, Flower Vase Pampas Grass Vase, Vase Home Decor Centrepiece Decor for Home, Office, or Gifts-Vase Only - (White, 6 inch)",ETrade Online,4.2,194.,-81%,451 ratings
5,UHUD CRAFTS Antique Wooden Fold-able Coffee Table/Side Table/End Table/Tea Table/Plant Stand/Stool Living Room Kids Play Furniture Table Round Shape,RetailEZ Pvt Ltd,4.0,399.,-75%,"14,842 ratings"
6,"Webelkart Premium Home Keys Wooden Key Holder (29 cm x 13.5 cm x 0.4 cm, Wood) 7 Hook - Decorative Items for Home Decor (Brown)",ETrade Online,4.2,178.,-80%,"2,128 ratings"
7,"Tied Ribbons Decorative Ganesh Idol Statue Showpiece (Multi, 16 cm X 12.9 cm) - Decoration Items for Home Decor Mandir Temple Living Room Pooja Room Office Table Decorative Gifts",TiedRibbons,4.2,499.,-50%,270 ratings
8,"Xtore® Golden Owl Family (Mother & Child) for Home Decor (Pack of 1, Golden)",ETrade Online,4.3,999.,-50%,"2,081 ratings"
9,Artvibes Designer Butterfly Wooden Wall Hanging for Home Decor | Hamsa Hand Decoration Livingroom | Modern Artwork Items | Peace Charm Accent | Door Decorative Hangings (WH_8508N),WishBag Online Pvt Ltd,4.3,179.,-82%,"2,410 ratings"
10,"Artvibes Madhubani Art Wooden Wall Hanging for Home Decor | Decoration Items for Livingroom | Art Item for Office | Decorative Mdf Wall Hanger Artwork (WH_9524N), (Set of 3)",WishBag Online Pvt Ltd,4.2,199.,-80%,544 ratings
11,"Global Grabbers New 25 Centimetre Meditating Sitting Buddha Statue showpiece Idol Home Decor Items for Living Room and Gifts (1, Orange Black)",ETrade Online,4.2,359.,-82%,"17,435 ratings"
12,"Birch & Co. Wall Decor for Living Room-Wall Hangings for Home/Wall Decoration Items -Rigid Eco-Friendly Recycled Board-Double Tape wall decor, 4 Pieces-Recycled Rigid Board",Layer One,3.8,189.,-81%,"1,164 ratings"
13,Street27 Resin Astronaut Spaceman Fantasy Statue Ornament Home Office Desktop Figurine Decors Set Of 3-Golden,Street27™,4.0,349.,-88%,922 ratings
14,Sehaz Artworks Wall Hangings for Home Decoration | Decorative Items for Home Living Room | Wall Decoration Items for Living Room | Home Decor Items for Living Room | Door Hanging -1-0019,ETrade Online,4.1,179.,-88%,"2,026 ratings"
15,Crosscut Furniture Metal Floor Lamp with 3 Shelves (Brown Jute). LED Bulb Included.,Crosscut Lamps,4.5,"1,795.",-64%,"4,341 ratings"
16,"SATYAM KRAFT 3 Pcs Artificial Flowers Small Fake Flower Faux Pampas Fluffy for Home Decor,Office,Bedroom,Valentine's Day Decor,Wedding,Living Room(Without Vase Pot)(Light Brown)(Fabric)(8x41 cm)",SATYAM KRAFT®,4.1,399.,-67%,"1,704 ratings"
17,"SATYAM KRAFT 3 Pcs Artificial Flowers Small Fake Flower Faux Pampas Fluffy for Home Decor,Office,Bedroom,Valentine's Day Decor,Wedding,Living Room(Without Vase Pot)(Light Brown)(Fabric)(8x41 cm)",SATYAM KRAFT®,4.1,399.,-67%,"1,704 ratings"
18,"SATYAM KRAFT 3 Pcs Artificial Flowers Small Fake Flower Faux Pampas Fluffy for Home Decor,Office,Bedroom,Valentine's Day Decor,Wedding,Living Room(Without Vase Pot)(Light Brown)(Fabric)(8x41 cm)",SATYAM KRAFT®,4.1,399.,-67%,"1,704 ratings"
